Duracion de la Suscripcion (Meses),Satisfaccion del Cliente (1-10),Tiempo de Visualizacion Diario (Horas),Indice de Compromiso (1-10),Dispositivo mas Usado,Genero Preferido,Region,Historial de Pago (A Tiempo/Retrasado),Plan de Suscripcion,Estado de Cancelacion (Sí/No),Consultas al Soporte,Edad,Ingresos Mensuales ($),Numero de Perfiles Creados
50,10,4.32,8,Mobile,Romance,Oceania,On-Time,Premium,No,9,26,3307,2
40,5,4.45,3,Smart TV,Comedy,Asia,On-Time,Premium,No,6,27,7333,2
17,8,4.81,8,Laptop,Sci-fi,South America,On-Time,Basic,No,0,55,7527,3
59,10,2.67,10,Mobile,Action,Africa,On-Time,Basic,No,1,29,9934,3
5,7,4.2,9,Smart TV,Sci-fi,North America,On-Time,Standard,No,7,45,6242,3
1,7,2.99,8,Laptop,Romance,Africa,On-Time,Basic,No,0,54,5897,3
19,9,2.8,8,Laptop,Sci-fi,South America,Delayed,Standard,Yes,1,23,2231,3
59,8,5.51,9,Laptop,Drama,Africa,On-Time,Basic,No,9,57,2173,3
37,4,2.2,5,Mobile,Drama,Asia,On-Time,Standard,No,5,51,4742,4
53,8,3.05,9,Tablet,Romance,North America,On-Time,Basic,No,2,67,7278,5
26,7,4.9,8,Laptop,Drama,Asia,Delayed,Standard,No,2,37,1785,3
1,9,2.52,8,Laptop,Romance,Africa,On-Time,Standard,No,9,47,7747,4
49,8,4.24,7,Smart TV,Comedy,South America,On-Time,Standard,No,3,30,9657,4
27,7,5.14,8,Mobile,Romance,Oceania,On-Time,Premium,No,0,22,3853,1
19,4,3.6,4,Laptop,Drama,Europe,On-Time,Premium,No,3,18,2260,2
28,8,5.37,10,Smart TV,Action,Oceania,Delayed,Standard,No,6,28,3708,5
51,4,2.67,4,Tablet,Action,Asia,On-Time,Basic,No,10,44,2633,3
1,2,1.82,1,Smart TV,Action,Europe,Delayed,Basic,Yes,8,36,2836,2
31,10,4.69,10,Laptop,Sci-fi,Europe,On-Time,Standard,No,9,43,2336,3
49,7,3.79,8,Tablet,Drama,Europe,On-Time,Basic,No,7,18,6594,1
7,10,5.56,8,Tablet,Action,Oceania,Delayed,Premium,Yes,2,36,6666,2
35,7,2.29,7,Smart TV,Romance,Africa,On-Time,Basic,No,8,70,5657,2
33,5,1.28,6,Smart TV,Drama,Africa,Delayed,Premium,No,3,60,2355,4
9,8,3.34,8,Laptop,Romance,Africa,On-Time,Standard,No,7,24,1561,5
45,9,3.99,8,Smart TV,Romance,Oceania,On-Time,Basic,No,4,26,1992,3
4,6,3.43,6,Laptop,Comedy,Oceania,Delayed,Premium,Yes,0,65,6121,3
56,7,1.67,9,Smart TV,Sci-fi,South America,On-Time,Premium,No,8,26,1048,3
55,9,3.73,8,Laptop,Sci-fi,Asia,On-Time,Basic,No,9,26,2240,1
32,10,2.42,8,Smart TV,Action,Europe,On-Time,Basic,No,2,60,2506,3
42,9,4.69,7,Mobile,Sci-fi,Africa,On-Time,Standard,No,1,31,5875,2
5,9,3.92,10,Laptop,Drama,Europe,On-Time,Basic,No,0,39,4609,2
8,5,1.19,1,Laptop,Romance,Europe,On-Time,Basic,No,2,44,4869,3
51,9,1.83,10,Tablet,Comedy,Asia,On-Time,Standard,No,9,34,7342,4
18,7,2.19,8,Laptop,Action,Africa,On-Time,Basic,No,7,52,8207,2
6,10,3.5,9,Laptop,Sci-fi,Oceania,On-Time,Premium,No,2,21,6406,4
14,9,5.17,10,Smart TV,Comedy,Europe,On-Time,Basic,No,8,31,9633,5
2,10,3.86,9,Laptop,Drama,Europe,On-Time,Premium,No,9,36,2617,2
52,8,1.91,8,Laptop,Sci-fi,Oceania,Delayed,Premium,No,5,52,5028,5
34,9,5.22,7,Mobile,Action,North America,On-Time,Basic,No,10,23,1952,2
19,10,3.48,7,Mobile,Romance,North America,On-Time,Premium,No,8,48,6929,4
29,8,2.35,8,Mobile,Sci-fi,Oceania,On-Time,Basic,No,10,52,8035,1
16,10,5.79,9,Mobile,Action,Oceania,On-Time,Standard,No,10,44,8572,3
44,7,4.63,9,Tablet,Action,Europe,On-Time,Basic,No,10,25,2487,1
2,8,5.3,7,Smart TV,Sci-fi,Asia,On-Time,Basic,No,1,37,4177,4
41,9,4.54,7,Tablet,Comedy,Europe,Delayed,Standard,No,10,67,1671,5
19,4,3.6,4,Tablet,Sci-fi,Oceania,On-Time,Standard,No,3,55,9754,3
45,2,3.62,1,Mobile,Sci-fi,Africa,On-Time,Basic,No,5,31,9608,3
35,9,1.26,7,Mobile,Sci-fi,Europe,On-Time,Basic,No,6,48,6409,3
22,3,1.85,6,Laptop,Romance,Africa,On-Time,Basic,No,4,47,6710,1
6,10,4.84,7,Laptop,Drama,South America,On-Time,Premium,No,5,31,1565,1
25,10,5.48,10,Tablet,Action,North America,On-Time,Premium,No,5,45,8196,4
29,7,1.77,10,Smart TV,Comedy,Oceania,On-Time,Basic,No,8,58,6836,5
43,10,5.94,10,Laptop,Drama,North America,On-Time,Premium,No,3,44,7207,5
52,10,4.75,9,Mobile,Drama,Africa,On-Time,Standard,No,0,56,2502,3
36,10,5.45,9,Mobile,Comedy,Africa,On-Time,Basic,No,7,25,1919,1
31,1,4.01,3,Tablet,Drama,Africa,On-Time,Standard,No,8,50,2506,1
38,7,5.7,8,Laptop,Drama,Asia,On-Time,Standard,No,8,35,8392,1
58,4,2.38,3,Laptop,Comedy,Africa,On-Time,Basic,No,1,29,2213,1
48,2,2.57,3,Laptop,Sci-fi,Oceania,On-Time,Premium,No,10,20,9099,4
59,4,3.44,1,Smart TV,Sci-fi,South America,On-Time,Standard,No,2,62,2415,4
15,6,4.47,2,Smart TV,Romance,South America,On-Time,Premium,No,3,19,7527,4
17,1,4.16,3,Tablet,Sci-fi,South America,On-Time,Premium,No,7,42,4530,1
34,2,5.2,2,Laptop,Drama,Asia,On-Time,Standard,No,6,42,6668,4
51,2,2.32,2,Mobile,Action,Asia,On-Time,Basic,No,0,47,3061,5
23,8,3.6,10,Smart TV,Comedy,Africa,Delayed,Basic,Yes,4,30,4159,5
3,10,1.55,9,Tablet,Romance,North America,On-Time,Standard,No,5,51,2755,4
10,10,2.46,10,Smart TV,Romance,South America,On-Time,Basic,No,8,67,1100,2
23,7,4.16,7,Tablet,Action,North America,Delayed,Premium,Yes,9,27,8389,1
20,9,4.53,10,Smart TV,Action,Africa,On-Time,Standard,No,0,65,7264,3
38,4,1.9,3,Mobile,Sci-fi,Europe,On-Time,Standard,No,6,34,2953,5
27,3,2.14,6,Mobile,Action,Asia,On-Time,Standard,No,2,35,1260,1
22,8,3.11,7,Tablet,Comedy,Africa,On-Time,Standard,No,8,25,1382,4
3,10,2.91,9,Laptop,Romance,North America,On-Time,Basic,No,2,37,1399,3
14,6,2.0,3,Tablet,Action,Africa,On-Time,Basic,Yes,2,28,3946,3
18,1,3.37,6,Smart TV,Sci-fi,Africa,On-Time,Premium,No,0,63,5071,4
41,9,5.02,10,Mobile,Drama,Oceania,On-Time,Standard,No,5,43,4828,3
11,2,1.73,1,Tablet,Sci-fi,North America,On-Time,Basic,Yes,1,65,2361,1
45,7,1.91,9,Laptop,Action,Oceania,On-Time,Standard,No,7,48,7947,5
6,8,5.37,9,Smart TV,Sci-fi,North America,Delayed,Premium,Yes,5,22,4908,5
22,10,1.45,7,Laptop,Romance,Europe,On-Time,Basic,No,10,51,5026,5
2,9,5.48,7,Mobile,Action,Oceania,Delayed,Standard,Yes,3,58,4817,5
51,7,4.82,10,Mobile,Romance,Asia,On-Time,Basic,No,10,30,2350,4
19,9,4.22,9,Laptop,Drama,Europe,Delayed,Premium,Yes,10,31,4000,2
35,9,5.31,8,Mobile,Drama,South America,On-Time,Basic,No,1,19,4102,5
9,2,4.07,4,Tablet,Sci-fi,Oceania,On-Time,Premium,No,1,48,5191,2
49,1,1.98,4,Mobile,Action,Europe,Delayed,Premium,No,4,25,2364,5
41,7,1.54,9,Smart TV,Drama,North America,On-Time,Basic,No,6,56,8319,4
22,4,5.74,5,Mobile,Drama,Africa,On-Time,Standard,Yes,1,45,6307,3
50,9,5.1,9,Mobile,Sci-fi,Europe,On-Time,Standard,No,3,33,1402,3
55,10,1.41,8,Mobile,Action,North America,On-Time,Premium,No,4,18,3402,1
52,8,1.49,8,Mobile,Sci-fi,North America,Delayed,Basic,No,9,25,8079,5
8,9,4.57,10,Tablet,Comedy,Europe,On-Time,Basic,No,5,24,4112,1
3,5,2.23,3,Smart TV,Comedy,North America,On-Time,Standard,No,7,68,1480,3
13,10,2.21,10,Tablet,Romance,Oceania,On-Time,Basic,No,10,28,7086,1
44,2,4.53,3,Tablet,Action,North America,On-Time,Basic,No,5,54,8242,2
39,5,4.6,5,Mobile,Sci-fi,North America,On-Time,Basic,No,4,40,6845,5
44,1,1.98,3,Mobile,Drama,Oceania,On-Time,Standard,No,7,57,9894,2
24,10,2.08,9,Mobile,Romance,Africa,On-Time,Standard,No,6,21,9231,5
29,2,3.87,3,Mobile,Action,Africa,On-Time,Standard,No,5,21,1078,5
40,7,4.34,7,Tablet,Comedy,Oceania,On-Time,Standard,No,1,54,8356,1
12,10,2.92,9,Smart TV,Sci-fi,Asia,On-Time,Premium,No,7,46,2768,5
7,7,4.01,8,Mobile,Sci-fi,North America,Delayed,Standard,Yes,4,23,5425,1
29,8,2.34,7,Smart TV,Sci-fi,Oceania,On-Time,Basic,No,1,29,3637,2
18,7,2.27,8,Laptop,Romance,Africa,On-Time,Basic,No,4,70,2739,5
9,6,3.31,6,Smart TV,Sci-fi,North America,On-Time,Basic,No,8,20,5162,4
41,9,3.13,8,Tablet,Comedy,Asia,On-Time,Basic,No,1,49,7901,1
48,5,4.33,6,Tablet,Romance,North America,Delayed,Basic,No,2,51,9101,3
42,2,3.88,4,Laptop,Romance,Africa,On-Time,Basic,No,1,51,2274,5
41,6,4.32,2,Tablet,Romance,Asia,On-Time,Basic,No,6,58,8259,4
42,6,3.08,1,Mobile,Action,Oceania,On-Time,Basic,No,8,20,9131,1
18,6,5.8,6,Tablet,Sci-fi,North America,On-Time,Basic,No,3,21,5511,3
23,7,2.41,7,Smart TV,Drama,Asia,On-Time,Basic,No,10,63,6351,5
21,6,4.79,5,Tablet,Comedy,Oceania,On-Time,Basic,No,6,52,2941,2
