Año de Trabajo,Nivel de Experiencia,Tipo de Empleo,Título del Puesto,Salario,Moneda del Salario,Salario en USD,Residencia del Empleado,Proporcion de Trabajo en Remoto,Ubicacion de la Empresa,Tamaño de la Empresa,ID
2020,Intermediate,Full-time,Data Scientist,70000,EUR,79833,Alemania,No remote work,Alemania,Large,1
2020,Senior,Full-time,Machine Learning Scientist,260000,USD,260000,Japon,No remote work,Japon,Small,2
2020,Senior,Full-time,Big Data Engineer,85000,GBP,109024,Reino Unido,Partially remote,Reino Unido,Medium,3
2020,Intermediate,Full-time,Product Data Analyst,20000,USD,20000,Honduras,No remote work,Honduras,Small,4
2020,Senior,Full-time,Machine Learning Engineer,150000,USD,150000,Estados Unidos,Partially remote,Estados Unidos,Large,5
2020,Junior,Full-time,Data Analyst,72000,USD,72000,Estados Unidos,Fully remote,Estados Unidos,Large,6
2020,Senior,Full-time,Lead Data Scientist,190000,USD,190000,Estados Unidos,Fully remote,Estados Unidos,Small,7
2020,Intermediate,Full-time,Data Scientist,11000000,HUF,35735,Hungria,Partially remote,Hungria,Large,8
2020,Intermediate,Full-time,Business Data Analyst,135000,USD,135000,Estados Unidos,Fully remote,Estados Unidos,Large,9
2020,Senior,Full-time,Lead Data Engineer,125000,USD,125000,Nueva Zelanda,Partially remote,Nueva Zelanda,Small,10
2020,Junior,Full-time,Data Scientist,45000,EUR,51321,Francia,No remote work,Francia,Small,11
2020,Intermediate,Full-time,Data Scientist,3000000,INR,40481,India,No remote work,India,Large,12
2020,Junior,Full-time,Data Scientist,35000,EUR,39916,Francia,No remote work,Francia,Medium,13
2020,Intermediate,Full-time,Lead Data Analyst,87000,USD,87000,Estados Unidos,Fully remote,Estados Unidos,Large,14
2020,Intermediate,Full-time,Data Analyst,85000,USD,85000,Estados Unidos,Fully remote,Estados Unidos,Large,15
2020,Intermediate,Full-time,Data Analyst,8000,USD,8000,Pakistan,Partially remote,Pakistan,Large,16
2020,Junior,Full-time,Data Engineer,4450000,JPY,41689,Japon,Fully remote,Japon,Small,17
2020,Senior,Full-time,Big Data Engineer,100000,EUR,114047,Polonia,Fully remote,Reino Unido,Small,18
2020,Junior,Full-time,Data Science Consultant,423000,INR,5707,India,Partially remote,India,Medium,19
2020,Intermediate,Full-time,Lead Data Engineer,56000,USD,56000,Portugal,Fully remote,Estados Unidos,Medium,20
2020,Intermediate,Full-time,Machine Learning Engineer,299000,CNY,43331,China,No remote work,China,Medium,21
2020,Intermediate,Full-time,Product Data Analyst,450000,INR,6072,India,Fully remote,India,Large,22
2020,Senior,Full-time,Data Engineer,42000,EUR,47899,Grecia,Partially remote,Grecia,Large,23
2020,Intermediate,Full-time,BI Data Analyst,98000,USD,98000,Estados Unidos,No remote work,Estados Unidos,Medium,24
2020,Intermediate,Full-time,Lead Data Scientist,115000,USD,115000,Emiratos Arabes Unidos,No remote work,Emiratos Arabes Unidos,Large,25
